Å¶1Ç¬ÇÃåöï®ÇÃélã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ínê}(ñkÇ™è„)Ç…ï`Ç©ÇÍÇƒÇ¢ÇÈåöï®ÇÃç∂è„Å®âEè„Å®ç∂â∫Å®âEâ∫ÇÃèáÇ≈élã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶xÇÕåöï®ÇÃélã˜ÇÃxç¿ïWÇÅAyÇÕåöï®ÇÃélã˜ÇÃyç¿ïWÇÅAÇàÇÕåöï®ÇÃçÇÇ≥Çé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ç¿ïWÇÃå¥ì_ÇÕïΩòaí ÇËÇ∆èüéRí ÇËÇ™åÇÌÇÈãõí¨åç∑ì_ÇÃê^ÇÒíÜÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],âìï˚ÇÃçÇÇ¢ÉrÉã,,,,,,,,,,
,,,,,,,-257.3,83.5,34,,,-73.6,152.3,12,,,-60.1,-30.0,30,,,354.5,414.7,38,,,,,,,,,,,
,,,,,,,-250.3,82.4,34,,,-58.5,150.1,12,,,-51.6,-31.5,30,,,393.7,401.4,38,,,,,,,,,,,
,,,,,,,-258.8,77.0,34,,,-78.3,125.4,12,,,-62.6,-44.9,30,,,328.6,338.2,38,,,,,,,,,,,
,,,,,,,-251.5,75.7,34,,,-63.9,122.9,12,,,-53.1,-38.4,30,,,367.3,324.3,38,,,,,,,,,,,
,,,,,,,-248.0,89.9,11,,,-79.0,122.3,12,,,,,,,,252.2,353.1,35,,,,,,,,,,,
,,,,,,,-235.1,87.2,11,,,-65.2,120.6,12,,,,,,,,311.3,330.8,35,,,,,,,,,,,
,,,,,,,-254.8,55.8,11,,,-84.0,94.2,12,,,,,,,,238.8,310.6,35,,,,,,,,,,,
,,,,,,,-242.4,53.5,11,,,-70.4,92.2,12,,,,,,,,296.3,291.8,35,,,,,,,,,,,
,,,,,,,-225.8,85.9,14,,,-55.4,134.6,16,ãûí¨ÇQíöñ⁄ÇVî‘ín,,,,,,,333.1,307.6,35,,,,,,,,,,,
,,,,,,,-214.6,83.9,14,,,-49.2,133.1,16,,,,,,,,363.3,297.2,35,,,,,,,,,,,
,,,,,,,-231.1,58.7,14,,,-59.6,116.2,16,,,,,,,,323.1,280.4,35,,,,,,,,,,,
,,,,,,,-219.9,56.7,14,,,-52.9,115.0,16,,,,,,,,352.4,270.0,35,,,,,,,,,,,
,,,,,,,-327.4,59.8,17,ãûí¨ÇPíöñ⁄ÇRî‘ín,,-48.2,132.8,30,,,,,,,,302.2,257.2,30,,,,,,,,,,,
,,,,,,,-309.0,56.2,17,,,-41.7,131.6,30,,,,,,,,337.0,244.4,30,,,,,,,,,,,
,,,,,,,-312.3,40.0,17,,,-51.9,114.7,30,,,,,,,,297.3,246.4,30,,,,,,,,,,,
,,,,,,,-312.3,40.0,17,,,-45.5,113.5,30,,,,,,,,332.5,233.5,30,,,,,,,,,,,
,,,,,,,-308.2,56.5,12,,,-41.0,130.8,30,,,,,,,,426.4,396.9,45,,,,,,,,,,,
,,,,,,,-288.8,52.9,12,,,-33.3,129.6,30,,,,,,,,441.8,391.4,45,,,,,,,,,,,
,,,,,,,-311.1,39.7,12,,,-46.2,106.8,30,,,,,,,,413.5,366.8,45,,,,,,,,,,,
,,,,,,,-291.1,36.4,12,,,-38.8,105.3,30,,,,,,,,426.4,361.8,45,,,,,,,,,,,
,,,,,,,-311.1,38.7,10,,,-32.6,129.3,32,,,,,,,,422.3,271.4,23,,,,,,,,,,,
,,,,,,,-291.6,35.7,10,,,-26.6,128.3,32,,,,,,,,430.8,269.4,23,,,,,,,,,,,
,,,,,,,-304.8,31.1,10,,,-37.0,110.3,32,,,,,,,,417.8,248.2,23,,,,,,,,,,,
,,,,,,,-292.8,28.2,10,,,-30.6,108.8,32,,,,,,,,429.8,244.3,23,,,,,,,,,,,
,,,,,,,-304.0,29.6,20,,,-25.4,127.8,32,,,,,,,,442.7,260.5,38,,,,,,,,,,,
,,,,,,,-292.8,28.2,20,,,-18.0,118.2,32,,,,,,,,458.0,255.6,38,,,,,,,,,,,
,,,,,,,-294.5,16.7,20,,,-29.4,108.8,32,,,,,,,,441.2,250.7,38,,,,,,,,,,,
,,,,,,,-294.5,16.7,20,,,-21.4,106.8,32,,,,,,,,455.1,246.2,38,,,,,,,,,,,
,,,,,,,-282.3,51.9,10,ãûí¨ÇPíöñ⁄ÇSî‘ín,,-37.0,110.0,10,,,,,,,,469.9,243.2,26,,,,,,,,,,,
,,,,,,,-277.3,51.0,10,,,-20.2,106.0,10,,,,,,,,480.4,239.3,26,,,,,,,,,,,
,,,,,,,-285.1,34.5,10,,,-37.8,105.3,10,,,,,,,,467.9,233.8,26,,,,,,,,,,,
,,,,,,,-280.4,33.5,10,,,-21.4,102.0,10,,,,,,,,476.4,230.9,26,,,,,,,,,,,
,,,,,,,-277.7,44.7,27,,,-60.1,115.5,11,,,,,,,,510.1,235.3,28,,,,,,,,,,,
